CÃ³digo,DenominaciÃ³n,Nombre,Dependencia,Domicilio,Localidad,Municipio,Provincia,CÃ³d.Postal,TelÃ©fono,EnseÃ±anzas,Servicios,Biling
04004498,Colegio de Educación Infantil y Primaria,Ferrer Guardia,Público,Otros DS El Charco.Llanos de la Cañada  s/n,La Cañada de San Urbano,Almería,Almería,04120,950156620,INF-PRI-EE,PAC-PAM-PAE-TE,CBI
04001357,Colegio de Educación Infantil y Primaria,San Indalecio,Público,Cmo. Playa  17,La Cañada de San Urbano,Almería,Almería,04120,950156428,INF-PRI-EE,PAC-PAM-PAE,CBI
04601865,Colegio de Educación Infantil y Primaria,Federico García Lorca,Público,C/ Federico García Lorca  s/n,La Fuente,Pulpí,Almería,04647,950451570,INF-PRI-EE,PAC-PAM-PAE,
04601695,Colegio de Educación Infantil y Primaria,Blas Infante,Público,Cmo. de los Metaleros  s/n,La Gangosa,Vícar,Almería,04738,950156893,INF-PRI-EE,PAC-PAM,CBI
04005223,Colegio de Educación Infantil y Primaria,Ntra. Sra. de la Merced,Público,Avda. Guadalquivir  75,La Gangosa,Vícar,Almería,04738,950156797,INF-PRI-EE,PAC-PAM-PAE-TE,CBI
04006161,Colegio de Educación Infantil y Primaria,Saint Sylvain D'Anjou,Público,Avda. Pintor Ginés Parra  s/n,La Gangosa,Vícar,Almería,04738,950156843,INF-PRI-EE,PAC-PAM-PAE,CBF
04005442,Colegio de Educación Infantil y Primaria,Ángel Frigola,Público,C/ Rosaleda 19,La Mojonera,La Mojonera,Almería,04745,950156915,INF-PRI-EE,PAC-PAM-PAE-TE,CBI
04002489,Colegio de Educación Infantil y Primaria,San Pedro Apóstol,Público,C/ Profesor Tierno Galván  s/n,La Mojonera,La Mojonera,Almería,04745,950156706,INF-PRI-EE,PAC-PAM-PAE-TE,
04602213,Colegio de Educación Infantil y Primaria,10 de Abril,Público,C/ Epifanio Lupión  s/n,La Mojonera,La Mojonera,Almería,04745,950156973,INF-PRI-EE,PAC-PAM-PAE-TE,CBI
04601634,Colegio de Educación Infantil y Primaria,La Venta del Viso,Público,C/ Diego de Velázquez  39,La Venta del Viso,La Mojonera,Almería,04746,950156885,INF-PRI-SEC-EE,TE,
04601701,Colegio de Educación Infantil y Primaria,Federico García Lorca,Público,Avda. Federico García Lorca  110,Las Cabañuelas,Vícar,Almería,04738,950156895,INF-PRI-SEC-EE,PAC-PAM-PAE,CBI
04004851,Colegio de Educación Infantil y Primaria,Nueva Andalucía,Público,Tvsía. Carretera  1,Las Cuatro Higueras,Adra,Almería,04779,950579882,INF-PRI-SEC-EE,PAC-PAM-PAE,
04008421,Colegio de Educación Infantil y Primaria,Gabriel Cara,Público,C/ Cerro Muriano  1,Las Marinas,Roquetas de Mar,Almería,04740,697953847,INF-PRI-EE,PAC-PAM-PAE,CBI
04003721,Colegio de Educación Infantil y Primaria,Las Marinas,Público,C/ Bartolomé de las Casas  1,Las Marinas,Roquetas de Mar,Almería,04740,950156762,INF-PRI-EE,PAC-PAM-PAE,CBI
04006185,Colegio de Educación Infantil y Primaria,Mirasierra,Público,C/ Sector SUS-4-ND,Las Norias,El Ejido,Almería,04716,950156845,INF-PRI-EE,PAC-PAM-PAE-TE,
04002350,Colegio de Educación Primaria,San Ignacio de Loyola,Público,C/ San Ignacio  20,Las Norias,El Ejido,Almería,04716,950579580,PRI-EE,PAM-PAE-TE,
04002957,Colegio de Educación Infantil y Primaria,Ntra. Sra. de la Salud,Público,Ctra. de Granada  77,Laujar de Andarax,Laujar de Andarax,Almería,04470,950515523,INF-PRI-EE,PAC-PAM-PAE-TE,
04602328,Colegio de Educación Infantil y Primaria,Félix Rodríguez de la Fuente,Público,C/ Mar Rojo  s/n,Llanos de Vícar,Vícar,Almería,04738,950156754,INF-PRI-SEC-EE,PAM-PAE,
04002601,Colegio de Educación Infantil y Primaria,Juan XXIII,Público,Avda. Juan XXIII  s/n,Los Gallardos,Los Gallardos,Almería,04280,950451910,INF-PRI-SEC-EE,PAC-PAM-PAE-TE,
04002982,Colegio de Educación Infantil y Primaria,San Sebastián,Público,C/ Ermita  1,Lubrín,Lubrín,Almería,04271,950451500,INF-PRI-SEC-EE,PAC-PAM-PAE-TE,
04602031,Colegio Público Rural,Alhfil,Público,Ctra. Bilbao  3,Lucainena de las Torres,Lucainena de las Torres,Almería,04210,950368596,INF-PRI,,
04003111,Colegio de Educación Infantil y Primaria,Las Canteras,Público,C/ La Viña  1-Bis,Macael,Macael,Almería,04867,950639549,INF-PRI-EE,PAC-PAM-PAE,
04003123,Colegio de Educación Infantil y Primaria,Ntra. Sra. del Rosario,Público,Avda. Andalucía  2,Macael,Macael,Almería,04867,950639952,INF-PRI-EE,PAC-PAM,CBI
04003159,Colegio de Educación Infantil y Primaria,Ntra. Sra. de la Cabeza,Público,C/ Mártires de Turón  s/n,María,María,Almería,04838,950419547,INF-PRI-SEC,,CBI
04002349,Colegio de Educación Infantil y Primaria,Solymar,Público,C/ Ibiza  28,Matagorda,El Ejido,Almería,04715,950579829,INF-PRI-SEC-EE,PAC-PAM-PAE-TE,
04003160,Colegio de Educación Infantil y Primaria,Bartolomé Flores,Público,Cmo. Fuensanta  s/n,Mojácar,Mojácar,Almería,04638,950451938,INF-PRI-EE,PAC-PAM-PAE-TE,
04602183,Colegio Público Rural,Tres Villas-Nacimiento,Público,C/ Duque  s/n,Nacimiento,Nacimiento,Almería,04540,950359600,INF-PRI,TE,
04003275,Colegio de Educación Infantil y Primaria,La Atalaya,Público,C/ Zona Escolar  s/n,Níjar,Níjar,Almería,04100,950156716,INF-PRI-EE,PAC-PAM-PAE-TE,
04003421,Colegio de Educación Infantil y Primaria,Antonio Relaño,Público,C/ Ramón y Cajal  35,Olula del Río,Olula del Río,Almería,04860,950639548,INF-PRI-EE,PAM-PAE,CBI
04003433,Colegio de Educación Infantil y Primaria,Trina Rull,Público,Avda. Vereda de Olula  12,Olula del Río,Olula del Río,Almería,04860,950639928,INF-PRI-EE,PAC-PAM-PAE-TE,
04003470,Colegio de Educación Infantil y Primaria,San Gregorio,Público,C/ Calvario  2,Oria,Oria,Almería,04810,950639682,INF-PRI-SEC-EE,PAC-PAM-PAE-TE,
04002118,Colegio de Educación Infantil y Primaria,Alarcón Fernández de Arellano,Público,Avda. Andalucía  7,Palomares,Cuevas del Almanzora,Almería,04617,950451568,INF-PRI-EE,PAM-PAE,CBI
04005119,Colegio de Educación Infantil y Primaria,Punta Entinas,Público,Brr. de los Carpinteros  s/n,Pampanico,El Ejido,Almería,04715,950579711,INF-PRI-EE,PAC,
04003512,Colegio de Educación Infantil y Primaria,José Díaz Díaz,Público,C/ Cuatro Olivos  22,Pechina,Pechina,Almería,04250,950156935,INF-PRI-EE,PAC-PAM-PAE,
04008388,Colegio de Educación Infantil y Primaria,José Saramago,Público,C/ Gran Vía Marqués de Casablanca  103,Puebla de Vícar,Vícar,Almería,04738,950001150,INF-PRI-EE,PAC-PAM-PAE-TE,CBI
04004553,Colegio de Educación Infantil y Primaria,Virgen de la Paz,Público,C/ Escuelas  s/n,Puebla de Vícar,Vícar,Almería,04738,950156778,INF-PRI-EE,PAC-PAM-PAE-TE,
04003691,Colegio Público Rural,Campo de Níjar Norte,Público,C/ Escuela  5,Puebloblanco,Níjar,Almería,04117,950156367,INF-PRI-EE,TE,
04003551,Colegio de Educación Infantil y Primaria,Emilio Zurano Muñoz,Público,C/ Emilio Zurano  7,Pulpí,Pulpí,Almería,04640,950451583,INF-PRI-EE,PAC-PAM-PAE-TE,
04003664,Colegio de Educación Infantil y Primaria,San Ginés,Público,Cmo. Verde  s/n,Purchena,Purchena,Almería,04870,950429910,INF-PRI-EE,PAC-PAM-PAE-TE,
04004462,Colegio de Educación Infantil y Primaria,Torremar,Público,Avda. del Toyo  225. El Toyo,Retamar,Almería,Almería,04130,950156627,INF-PRI-EE,PAC-PAM-PAE-TE,CBI
04003688,Colegio de Educación Infantil y Primaria,Antonio Devalque,Público,Plaza Ocho de Marzo  s/n,Rioja,Rioja,Almería,04260,950156910,INF-PRI-SEC-EE,PAC-PAM-PAE-TE,CBI
04004681,Colegio de Educación Infantil y Primaria,Juan de Orea,Público,C/ Félix Rodríguez de la Fuente  2,Roquetas de Mar,Roquetas de Mar,Almería,04740,950156782,INF-PRI-EE,PAC-PAM-PAE-TE,
04007700,Colegio de Educación Infantil y Primaria,La Molina,Público,Cmo. Camino del Puerto  19.,Roquetas de Mar,Roquetas de Mar,Almería,04740,950153330,INF-PRI-EE,PAC-PAM-PAE-TE,CBI
