Código,Denominación,Nombre,Dependencia,Domicilio,Localidad,Municipio,Provincia,Cód.Postal,Teléfono,Enseñanzas,Servicios,Biling
14000321,Instituto de Educación Secundaria,El Sauce,Público,C/ Punta del Sauce  4,La Carlota,La Carlota,Córdoba,14100,957307560,SEC,TE,CBI
14700298,Instituto de Educación Secundaria,Nuevas Poblaciones,Público,C/ La Salud  6,La Carlota,La Carlota,Córdoba,14100,957307521,SEC-BAC-CFGM-EE-CFGS,TE,CBI
14006345,Instituto de Educación Secundaria,Profesor Tierno Galván,Público,C/ Calvario  s/n,La Rambla,La Rambla,Córdoba,14540,957699625,SEC-BAC-CFGM-EE,PAE-TE,CBI
14000331,Instituto de Educación Secundaria,Clara Campoamor,Público,C/ Jaén  6,Lucena,Lucena,Córdoba,14900,957596905,SEC-EE,PAE-TE,CBI
14007404,Instituto de Educación Secundaria,Juan de Arájula,Público,C/ Montemayor  11,Lucena,Lucena,Córdoba,14900,957596543,SEC-BAC-CFGM-CFGS,TE,CBI
14004580,Instituto de Educación Secundaria,Marqués de Comares,Público,C/ Juego de Pelota  54,Lucena,Lucena,Córdoba,14900,957596915,SEC-BAC-CFGM-EE-CFGS,PAE-TE,CBI
14700420,Instituto de Educación Secundaria,Miguel de Cervantes,Público,C/ Blas Infante  s/n,Lucena,Lucena,Córdoba,14900,957596808,SEC-EE,TE,CBI
14005882,Instituto de Educación Secundaria,Sierra de Aras,Público,C/ María Zambrano  s/n,Lucena,Lucena,Córdoba,14900,957596740,SEC-BAC-CFGM-EE-CFGS,TE,CBI
14700602,Instituto de Educación Secundaria,Albenzaide,Público,C/ Vereda del Calvario  s/n,Luque,Luque,Córdoba,14880,957699707,SEC-EE,PAC-PAE,CBI
14700781,Instituto de Educación Secundaria,Maestro Eloy Vaquero,Público,Ctra. de Santaella  s/n. Zona Polideportivo,Montalbón de Córdoba,Montalbón de Córdoba,Córdoba,14548,957307515,SEC-EE,,CBI
14700614,Instituto de Educación Secundaria,Ulia Fidentia,Público,Bda. María Auxiliadora  s/n,Montemayor,Montemayor,Córdoba,14530,957379924,SEC-EE,PAE,CBF-CBI
14004828,Instituto de Educación Secundaria,Emilio Canalejo Olmeda,Público,Avda. del Trabajo  24,Montilla,Montilla,Córdoba,14550,957699941,SEC-BAC-CFGM-CFGS,PAE-TE,
14004841,Instituto de Educación Secundaria,Inca Garcilaso,Público,Avda. de la Constitución  14,Montilla,Montilla,Córdoba,14550,957699600,SEC-BAC-CFGM-EE-CFGS,PAE-TE,CBI
14004971,Instituto de Educación Secundaria,Antonio Galón Acosta,Público,C/ Doa Josefa de Bejar y Lara  6,Montoro,Montoro,Córdoba,14600,957199904,SEC-BAC-CFGM-CFGS,TE,
14004981,Instituto de Educación Secundaria,Santos Isasa,Público,Plaza Plano de la feria  s/n,Montoro,Montoro,Córdoba,14600,957199915,SEC-BAC-CFGM-EE-CFGS,TE,CBI
14700626,Instituto de Educación Secundaria,Las Viás,Público,Avda. del Deporte  s/n,Moriles,Moriles,Córdoba,14510,957596575,SEC,TE,
14700638,Instituto de Educación Secundaria,Cumbres Altas,Público,C/ Marqués de Cabriána  s/n,Nueva Carteya,Nueva Carteya,Córdoba,14857,957699615,SEC,,
14005298,Instituto de Educación Secundaria,Antonio Gala,Público,Avda. de la Paz  s/n,Palma del Ró,Palma del Ró,Córdoba,14700,957719925,SEC-BAC-CFGM-EE-CFGS,PAE-TE,CBI
14700641,Instituto de Educación Secundaria,Sácilis,Público,C/ Santa Rafaela María  101,Pedro Abad,Pedro Abad,Córdoba,14630,671531984,SEC,,
14005501,Instituto de Educación Secundaria,Alto Guadiato,Público,Ronda del Guadiato  s/n,Peárrora-Pueblonuevo,Peárrora-Pueblonuevo,Córdoba,14200,957579518,SEC-BAC-CFGM-EE-CFGS,TE,CBF
14005493,Instituto de Educación Secundaria,Florencio Pintado,Público,C/ Romero Robledo  17,Peárrora-Pueblonuevo,Peárrora-Pueblonuevo,Córdoba,14200,957579538,SEC-BAC-CFGM-CFGS,TE,
14005560,Instituto de Educación Secundaria,Aljanadic,Público,C/ Almodóvar del Ró  s/n,Posadas,Posadas,Córdoba,14730,957719541,SEC-BAC-CFGM-CFGS,TE,CBI
